Sample_Index	Signal_[mV]
398	-4034.1
399	-4029.53
400	-4010.45
401	-4018.08
402	-4034.1
403	-4050.89
404	-4046.31
405	-4018.84
406	-4011.98
407	-4028
408	-4043.26
409	-4031.05
410	-4021.9
411	-4023.42
412	-4023.42
413	-4024.19
414	-4023.42
415	-4015.79
416	-4011.22
417	-4022.66
418	-4040.21
419	-4053.18
420	-4055.47
421	-4056.23
422	-4031.81
423	-4007.4
424	-3988.33
425	-3982.99
426	-4002.06
427	-4023.42
428	-4023.42
429	-4021.13
430	-4026.47
431	-4026.47
432	-4014.27
433	-4011.22
434	-4018.84
435	-4035.63
436	-4063.86
437	-4072.25
438	-4076.83
439	-4056.99
440	-4018.84
441	-3996.72
442	-4001.3
443	-4021.9
444	-4022.66
445	-4012.74
446	-4025.71
447	-4035.63
448	-4030.29
449	-4027.24
450	-4032.58
451	-4033.34
452	-4033.34
453	-4031.81
454	-4021.9
455	-4017.32
456	-4021.9
457	-4020.37
458	-4021.13
459	-4026.47
460	-4032.58
461	-4040.97
462	-4050.89
463	-4044.02
464	-4021.13
465	-3994.43
466	-3955.52
467	-3934.92
468	-3962.39
469	-3979.17
470	-3992.9
471	-3999.01
472	-3996.72
473	-4003.59
474	-4014.27
475	-4015.03
476	-4033.34
477	-4041.73
478	-4027.24
479	-4018.84
480	-4003.59
481	-3984.51
482	-4003.59
483	-4003.59
484	-3980.7
485	-3981.46
486	-3977.65
487	-3970.78
488	-3978.41
489	-3999.01
490	-4007.4
491	-3990.62
492	-3978.41
493	-3972.31
494	-3950.94
495	-3958.57
496	-3974.59
497	-3972.31
498	-3967.73
499	-3963.15
500	-3962.39
501	-3963.15
502	-3975.36
503	-3992.14
504	-3991.38
505	-3982.99
506	-3993.67
507	-3993.67
508	-3990.62
509	-3985.28
510	-3969.25
511	-3960.1
512	-3979.93
513	-3978.41
514	-3976.88
515	-3968.49
516	-3960.1
517	-3966.2
518	-3968.49
519	-3960.1
520	-3952.47
521	-3958.57
522	-3968.49
523	-3959.34
524	-3968.49
525	-4004.35
526	-4018.84
527	-3996.72
528	-3974.59
529	-3967.73
530	-3986.04
531	-3987.56
532	-3984.51
533	-3983.75
534	-3988.33
535	-3982.99
536	-3982.22
537	-3992.9
538	-4000.53
539	-4003.59
540	-4014.27
541	-4043.26
542	-4044.78
543	-4034.87
544	-4035.63
545	-4018.08
546	-4005.11
547	-4015.79
548	-4043.26
549	-4040.97
550	-4023.42
551	-3997.48
552	-3992.14
553	-3996.72
554	-4006.64
555	-4018.84
556	-4030.29
557	-4036.39
558	-4034.87
559	-4020.37
560	-4004.35
561	-4032.58
562	-4045.55
563	-4020.37
564	-3993.67
565	-3999.01
566	-4008.93
567	-3991.38
568	-3981.46
569	-3993.67
570	-4006.64
571	-4010.45
572	-3994.43
573	-3988.33
574	-3981.46
575	-4011.22
576	-4035.63
577	-4024.19
578	-4010.45
579	-3977.65
580	-3972.31
581	-3999.01
582	-4018.84
583	-4008.93
584	-4000.53
585	-4006.64
586	-4009.69
587	-4002.82
588	-3986.04
589	-3993.67
590	-4018.84
591	-4033.34
592	-4044.02
593	-4034.1
594	-4025.71
595	-4044.02
596	-4049.36
597	-4043.26
598	-4040.97
599	-4044.78
600	-4039.44
601	-4034.1
602	-4038.68
603	-4047.07
604	-4047.07
605	-4055.47
606	-4066.91
607	-4060.81
608	-4061.57
609	-4059.28
610	-4033.34
611	-4028.76
612	-4033.34
613	-4034.87
614	-4035.63
615	-4040.21
616	-4029.53
617	-4015.03
618	-4033.34
619	-4042.5
620	-4030.29
621	-4019.61
622	-4021.9
623	-3999.01
624	-3970.02
625	-3963.15
626	-3957.81
627	-3944.84
628	-3920.42
629	-3893.72
630	-3880.75
631	-3871.6
632	-3852.52
633	-3806.74
634	-3746.47
635	-3707.56
636	-3679.33
637	-3640.42
638	-3619.82
639	-3603.04
640	-3570.23
641	-3583.96
642	-3610.67
643	-3615.24
644	-3579.39
645	-3559.55
646	-3567.94
647	-3546.58
649	-3537.42
650	-3567.94
651	-3627.45
652	-3679.33
653	-3708.32
654	-3722.82
655	-3757.15
656	-3802.93
657	-3848.71
658	-3908.22
659	-3961.62
660	-3989.09
661	-4020.37
662	-4037.16
663	-4040.21
664	-4075.3
665	-4110.4
