Sample_Index	Signal_[mV]
443	-894.541
444	-897.131
445	-899.592
446	-901.923
447	-904.12
448	-906.176
449	-908.086
450	-909.842
451	-911.431
452	-912.841
453	-914.054
454	-915.051
455	-915.812
456	-916.329
457	-916.605
458	-916.657
459	-916.501
460	-916.159
461	-915.658
462	-915.035
463	-914.33
464	-913.591
465	-912.858
466	-912.162
467	-911.516
468	-910.92
469	-910.369
470	-909.862
471	-909.395
472	-908.964
473	-908.562
474	-908.182
475	-907.819
476	-907.472
477	-907.147
478	-906.852
479	-906.595
480	-906.381
481	-906.215
482	-906.096
483	-906.021
484	-905.985
485	-905.991
486	-906.052
487	-906.188
488	-906.417
489	-906.741
490	-907.139
491	-907.565
492	-907.963
493	-908.275
494	-908.451
495	-908.447
496	-908.234
497	-907.801
498	-907.148
499	-906.281
500	-905.208
501	-903.949
502	-902.533
503	-900.997
504	-899.374
505	-897.691
506	-895.973
507	-894.249
508	-892.554
509	-890.923
510	-889.393
511	-887.988
512	-886.721
513	-885.594
514	-884.595
515	-883.708
516	-882.919
517	-882.22
518	-881.6
519	-881.05
520	-880.552
521	-880.085
522	-879.623
523	-879.147
524	-878.644
525	-878.107
526	-877.535
527	-876.929
528	-876.283
529	-875.594
530	-874.856
531	-874.076
532	-873.268
533	-872.456
534	-871.668
535	-870.925
536	-870.236
537	-869.6
538	-869.01
539	-868.464
540	-867.959
541	-867.493
542	-867.063
543	-866.668
544	-866.314
545	-866.004
546	-865.744
547	-865.539
548	-865.388
549	-865.288
550	-865.232
551	-865.213
552	-865.225
553	-865.262
554	-865.317
555	-865.382
556	-865.447
557	-865.504
558	-865.544
559	-865.557
560	-865.53
561	-865.442
562	-865.269
563	-864.995
564	-864.613
565	-864.132
566	-863.571
567	-862.956
568	-862.309
569	-861.655
570	-861.012
571	-860.394
572	-859.817
573	-859.295
574	-858.845
575	-858.484
576	-858.224
577	-858.063
578	-857.982
579	-857.95
580	-857.939
581	-857.923
582	-857.884
583	-857.807
584	-857.679
585	-857.488
586	-857.216
587	-856.846
588	-856.361
589	-855.758
590	-855.046
591	-854.239
592	-853.355
593	-852.418
594	-851.456
595	-850.494
596	-849.547
597	-848.62
598	-847.713
599	-846.821
600	-845.939
601	-845.058
602	-844.166
603	-843.252
604	-842.317
605	-841.377
606	-840.455
607	-839.569
608	-838.729
609	-837.949
610	-837.242
611	-836.628
612	-836.124
613	-835.743
614	-835.49
615	-835.364
616	-835.361
617	-835.475
618	-835.7
619	-836.024
620	-836.444
621	-836.96
622	-837.576
623	-838.293
624	-839.111
625	-840.03
626	-841.045
627	-842.148
628	-843.33
629	-844.576
630	-845.876
631	-847.218
632	-848.588
633	-849.975
634	-851.363
635	-852.737
636	-854.085
637	-855.395
638	-856.66
639	-857.87
640	-859.008
641	-860.05
642	-860.971
643	-861.751
644	-862.385
645	-862.872
646	-863.21
647	-863.401
648	-863.451
649	-863.375
650	-863.197
651	-862.943
652	-862.637
653	-862.302
654	-861.957
655	-861.62
656	-861.303
657	-861.018
658	-860.78
659	-860.598
660	-860.473
661	-860.399
662	-860.366
663	-860.354
664	-860.337
665	-860.281
666	-860.153
667	-859.928
668	-859.598
669	-859.174
670	-858.684
671	-858.163
672	-857.643
673	-857.145
674	-856.671
675	-856.206
676	-855.722
677	-855.193
678	-854.598
679	-853.933
680	-853.214
681	-852.475
682	-851.751
683	-851.071
684	-850.449
685	-849.888
686	-849.384
687	-848.927
688	-848.509
689	-848.12
690	-847.752
691	-847.397
692	-847.052
693	-846.715
694	-846.381
695	-846.036
696	-845.667
697	-845.26
698	-844.804
699	-844.295
700	-843.734
701	-843.126
702	-842.484
703	-841.824
704	-841.172
705	-840.561
706	-840.032
707	-839.628
708	-839.393
709	-839.361
710	-839.551
711	-839.962
712	-840.573
713	-841.344
714	-842.222
715	-843.15
716	-844.073
717	-844.947
718	-845.739
719	-846.427
720	-846.997
721	-847.438
722	-847.74
723	-847.891
724	-847.884
725	-847.715
726	-847.384
727	-846.892
728	-846.245
729	-845.457
730	-844.551
731	-843.545
732	-842.453
733	-841.285
734	-840.057
735	-838.789
736	-837.497
737	-836.191
738	-834.872
739	-833.535
740	-832.176
741	-830.795
742	-829.395
743	-827.984
744	-826.575
745	-825.171
746	-823.771
747	-822.36
748	-820.923
749	-819.447
750	-817.928
751	-816.371
752	-814.789
753	-813.204
754	-811.636
755	-810.104
756	-808.617
757	-807.176
758	-805.776
759	-804.41
760	-803.071
761	-801.759
762	-800.475
763	-799.216
764	-797.97
765	-796.728
766	-795.488
767	-794.262
768	-793.067
769	-791.924
770	-790.841
771	-789.813
772	-788.832
773	-787.886
774	-786.97
775	-786.084
776	-785.231
777	-784.406
778	-783.6
779	-782.797
780	-781.984
781	-781.153
782	-780.297
783	-779.409
784	-778.486
785	-777.531
786	-776.564
787	-775.614
788	-774.728
789	-773.96
790	-773.361
791	-772.975
792	-772.843
793	-773.005
794	-773.494
795	-774.329
796	-775.509
797	-777.007
798	-778.779
799	-780.771
800	-782.936
801	-785.237
802	-787.649
803	-790.164
804	-792.779
805	-795.491
806	-798.291
807	-801.164
808	-804.096
809	-807.07
810	-810.06
811	-813.037
812	-815.965
813	-818.812
814	-821.546
815	-824.143
816	-826.592
817	-828.89
818	-831.037
819	-833.03
820	-834.86
821	-836.526
822	-838.032
823	-839.392
824	-840.623
825	-841.741
826	-842.766
827	-843.71
828	-844.58
829	-845.38
830	-846.112
831	-846.782
832	-847.392
833	-847.95
834	-848.458
835	-848.925
836	-849.36
837	-849.774
838	-850.178
839	-850.573
840	-850.952
841	-851.299
842	-851.594
843	-851.807
844	-851.909
845	-851.868
846	-851.659
847	-851.26
848	-850.661
849	-849.868
850	-848.898
851	-847.771
852	-846.506
853	-845.121
854	-843.646
855	-842.118
856	-840.583
857	-839.086
858	-837.663
859	-836.343
860	-835.142
861	-834.061
862	-833.092
863	-832.23
864	-831.473
865	-830.835
866	-830.336
867	-829.993
868	-829.814
869	-829.786
870	-829.885
871	-830.087
872	-830.369
873	-830.711
874	-831.094
875	-831.495
876	-831.881
877	-832.214
878	-832.446
879	-832.517
880	-832.357
881	-831.892
882	-831.042
883	-829.722
884	-827.84
885	-825.287
886	-821.943
887	-817.676
888	-812.358
889	-805.864
890	-798.089
891	-788.953
892	-778.408
893	-766.444
894	-753.092
895	-738.413
896	-722.498
897	-705.46
898	-687.43
899	-668.558
900	-649.014
901	-628.995
902	-608.726
903	-588.461
904	-568.475
905	-549.058
906	-530.506
907	-513.107
908	-497.141
909	-482.873
910	-470.549
911	-460.389
912	-452.58
913	-447.275
914	-444.588
916	-447.29
917	-452.675
918	-460.678
919	-471.204
920	-484.137
921	-499.343
922	-516.665
923	-535.919
924	-556.884
925	-579.301
926	-602.872
927	-627.276
928	-652.176
929	-677.236
930	-702.13
931	-726.543
932	-750.179
933	-772.768
934	-794.073
935	-813.905
936	-832.122
937	-848.63
938	-863.374
939	-876.328
940	-887.485
941	-896.857
942	-904.469
943	-910.37
944	-914.638
945	-917.385
946	-918.746
947	-918.874
948	-917.926
949	-916.055
950	-913.407
951	-910.125
952	-906.344
953	-902.188
954	-897.766
955	-893.166
956	-888.454
957	-883.671
958	-878.846
959	-874.013
960	-869.212
961	-864.49
962	-859.887
963	-855.424
964	-851.1
965	-846.903
966	-842.823
967	-838.863
968	-835.028
969	-831.331
970	-827.788
971	-824.41
972	-821.2
973	-818.157
974	-815.275
975	-812.551
976	-809.978
977	-807.547
978	-805.249
979	-803.076
980	-801.017
981	-799.057
982	-797.177
983	-795.352
984	-793.564
985	-791.8
986	-790.051
987	-788.306
988	-786.552
989	-784.773
990	-782.961
991	-781.109
992	-779.218
993	-777.289
994	-775.317
995	-773.296
996	-771.221
997	-769.098
998	-766.948
999	-764.802
1000	-762.692
1001	-760.653
1002	-758.706
1003	-756.858
1004	-755.095
1005	-753.392
1006	-751.725
1007	-750.075
1008	-748.427
1009	-746.766
1010	-745.075
1011	-743.339
1012	-741.547
1013	-739.692
1014	-737.77
1015	-735.789
1016	-733.764
1017	-731.72
1018	-729.679
1019	-727.655
1020	-725.652
1021	-723.666
1022	-721.697
1023	-719.75
1024	-717.83
1025	-715.944
1026	-714.097
1027	-712.301
1028	-710.568
1029	-708.914
1030	-707.349
1031	-705.875
1032	-704.486
1033	-703.168
1034	-701.898
1035	-700.651
1036	-699.399
1037	-698.108
1038	-696.743
1039	-695.279
1040	-693.702
1041	-692.01
1042	-690.204
1043	-688.289
1044	-686.276
1045	-684.187
1046	-682.046
1047	-679.876
1048	-677.696
1049	-675.517
1050	-673.348
1051	-671.196
1052	-669.065
1053	-666.954
1054	-664.867
1055	-662.804
1056	-660.758
1057	-658.717
1058	-656.66
1059	-654.561
1060	-652.397
1061	-650.147
1062	-647.791
1063	-645.312
1064	-642.696
1065	-639.934
1066	-637.018
1067	-633.941
1068	-630.705
1069	-627.318
1070	-623.797
1071	-620.156
1072	-616.4
1073	-612.523
1074	-608.513
1075	-604.348
1076	-600.006
1077	-595.471
1078	-590.737
1079	-585.816
1080	-580.732
1081	-575.525
1082	-570.24
1083	-564.924
1084	-559.622
1085	-554.367
1086	-549.178
1087	-544.058
1088	-539.002
1089	-533.992
1090	-529.011
1091	-524.04
1092	-519.061
1093	-514.061
1094	-509.034
1095	-503.98
1096	-498.904
1097	-493.816
1098	-488.728
1099	-483.651
1100	-478.593
1101	-473.557
1102	-468.544
1103	-463.551
1104	-458.571
1105	-453.595
1106	-448.609
1107	-443.605
1108	-438.587
1109	-433.571
1110	-428.59
1111	-423.684
1112	-418.896
1113	-414.268
1114	-409.836
1115	-405.634
1116	-401.685
1117	-398.005
1118	-394.599
1119	-391.462
1120	-388.582
1121	-385.948
1122	-383.548
1123	-381.374
1124	-379.415
1125	-377.66
1126	-376.094
1127	-374.707
1128	-373.498
1129	-372.481
1130	-371.684
1131	-371.137
1132	-370.858
1133	-370.859
1134	-371.144
1135	-371.72
1136	-372.595
1137	-373.774
1138	-375.253
1139	-377.02
1140	-379.059
1141	-381.356
1142	-383.902
1143	-386.696
1144	-389.746
1145	-393.065
1146	-396.659
1147	-400.527
1148	-404.659
1149	-409.036
1150	-413.635
1151	-418.419
1152	-423.352
1153	-428.399
1154	-433.536
1155	-438.754
1156	-444.052
1157	-449.437
1158	-454.921
1159	-460.517
1160	-466.243
1161	-472.116
1162	-478.148
1163	-484.352
1164	-490.731
1165	-497.28
1166	-503.984
1167	-510.822
1168	-517.774
1169	-524.824
1170	-531.961
1171	-539.171
1172	-546.443
1173	-553.763
1174	-561.115
1175	-568.482
1176	-575.837
1177	-583.152
1178	-590.398
1179	-597.539
1180	-604.539
1181	-611.362
1182	-617.975
1183	-624.347
1184	-630.454
1185	-636.28
1186	-641.82
1187	-647.071
1188	-652.029
1189	-656.681
1190	-661.012
1191	-665.02
1192	-668.719
1193	-672.141
1194	-675.319
1195	-678.289
1196	-681.083
1197	-683.732
1198	-686.258
1199	-688.673
1200	-690.984
1201	-693.191
1202	-695.298
1203	-697.314
1204	-699.241
1205	-701.076
1206	-702.805
1207	-704.413
1208	-705.893
1209	-707.244
1210	-708.476
1211	-709.604
1212	-710.655
1213	-711.657
1214	-712.641
1215	-713.632
1216	-714.649
1217	-715.698
1218	-716.777
1219	-717.887
1220	-719.034
1221	-720.232
1222	-721.491
1223	-722.814
1224	-724.197
1225	-725.634
1226	-727.122
1227	-728.667
1228	-730.28
1229	-731.97
1230	-733.738
1231	-735.577
1232	-737.467
1233	-739.383
1234	-741.293
1235	-743.162
1236	-744.946
1237	-746.598
1238	-748.076
1239	-749.346
1240	-750.387
1241	-751.195
1242	-751.779
1243	-752.16
1244	-752.364
1245	-752.407
1246	-752.308
1247	-752.085
1248	-751.764
1249	-751.374
1250	-750.938
1251	-750.466
1252	-749.964
1253	-749.435
1254	-748.887
1255	-748.335
1256	-747.795
1257	-747.28
1258	-746.798
1259	-746.355
1260	-745.953
1261	-745.589
1262	-745.263
1263	-744.978
1264	-744.734
1265	-744.524
1266	-744.334
1267	-744.135
1268	-743.893
1269	-743.567
1270	-743.115
1271	-742.507
1272	-741.729
1273	-740.791
1274	-739.719
1275	-738.554
1276	-737.345
1277	-736.146
1278	-735.011
1279	-733.985
1280	-733.095
1281	-732.353
1282	-731.759
1283	-731.304
1284	-730.969
1285	-730.726
1286	-730.534
1287	-730.349
1288	-730.125
1289	-729.815
1290	-729.38
1291	-728.79
1292	-728.027
1293	-727.098
1294	-726.023
1295	-724.841
1296	-723.591
1297	-722.317
1298	-721.056
1299	-719.844
1300	-718.712
1301	-717.679
1302	-716.753
1303	-715.929
1304	-715.203
1305	-714.572
1306	-714.044
1307	-713.63
1308	-713.343
1309	-713.191
1310	-713.167
1311	-713.25
1312	-713.404
1313	-713.596
1314	-713.806
1315	-714.028
1316	-714.264
1317	-714.518
1318	-714.798
1319	-715.113
1320	-715.472
1321	-715.87
1322	-716.277
1323	-716.646
1324	-716.914
1325	-717.032
1326	-716.966
1327	-716.707
1328	-716.258
1329	-715.64
1330	-714.878
1331	-714.008
1332	-713.063
1333	-712.07
1334	-711.057
1335	-710.053
1336	-709.091
1337	-708.202
1338	-707.41
1339	-706.727
1340	-706.159
1341	-705.711
1342	-705.385
1343	-705.17
1344	-705.047
1345	-704.991
1346	-704.971
1347	-704.962
1348	-704.947
1349	-704.919
1350	-704.881
1351	-704.836
1352	-704.793
1353	-704.758
1354	-704.734
1355	-704.716
1356	-704.684
1357	-704.615
1358	-704.489
1359	-704.289
1360	-704.003
1361	-703.619
1362	-703.135
1363	-702.549
1364	-701.869
1365	-701.105
1366	-700.278
1367	-699.42
1368	-698.568
1369	-697.761
1370	-697.024
1371	-696.371
1372	-695.804
1373	-695.315
1374	-694.898
1375	-694.547
1376	-694.26
1377	-694.035
1378	-693.875
1379	-693.776
1380	-693.733
1381	-693.735
1382	-693.773
1383	-693.84
1384	-693.933
1385	-694.048
1386	-694.184
1387	-694.339
1388	-694.515
1389	-694.713
1390	-694.936
1391	-695.183
1392	-695.458
1393	-695.769
1394	-696.116
1395	-696.494
1396	-696.893
1397	-697.302
1398	-697.711
1399	-698.113
1400	-698.507
1401	-698.89
1402	-699.258
1403	-699.597
1404	-699.895
1405	-700.136
1406	-700.308
1407	-700.401
1408	-700.409
1409	-700.332
1410	-700.172
1411	-699.938
1412	-699.64
1413	-699.284
1414	-698.878
1415	-698.426
1416	-697.941
1417	-697.438
1418	-696.93
1419	-696.429
1420	-695.934
1421	-695.441
1422	-694.95
1423	-694.472
1424	-694.027
1425	-693.641
1426	-693.333
1427	-693.12
1428	-693.009
1429	-693.001
1430	-693.087
1431	-693.251
1432	-693.471
1433	-693.721
1434	-693.968
1435	-694.174
1436	-694.298
1437	-694.299
1438	-694.143
1439	-693.802
1440	-693.25
1441	-692.464
1442	-691.435
1443	-690.172
1444	-688.697
1445	-687.043
1446	-685.253
1447	-683.376
1448	-681.46
1449	-679.552
1450	-677.689
1451	-675.906
1452	-674.24
1453	-672.724
1454	-671.385
1455	-670.236
1456	-669.283
1457	-668.522
1458	-667.942
1459	-667.528
1460	-667.265
1461	-667.138
1462	-667.126
1463	-667.19
1464	-667.274
1465	-667.311
1466	-667.239
1467	-666.999
1468	-666.55
1469	-665.86
1470	-664.917
1471	-663.722
1472	-662.287
1473	-660.634
1474	-658.797
1475	-656.815
1476	-654.722
1477	-652.54
1478	-650.286
1479	-647.971
1480	-645.61
1481	-643.215
1482	-640.79
1483	-638.333
1484	-635.847
1485	-633.337
1486	-630.816
1487	-628.304
1488	-625.825
1489	-623.401
1490	-621.05
1491	-618.782
1492	-616.596
1493	-614.485
1494	-612.443
1495	-610.47
1496	-608.572
1497	-606.759
1498	-605.045
1499	-603.444
1500	-601.972
1501	-600.644
1502	-599.477
1503	-598.487
1504	-597.689
1505	-597.1
1506	-596.737
1507	-596.617
1508	-596.752
1509	-597.151
1510	-597.82
1511	-598.764
1512	-599.994
1513	-601.519
1514	-603.349
1515	-605.483
1516	-607.906
1517	-610.584
1518	-613.473
1519	-616.527
1520	-619.696
1521	-622.93
1522	-626.174
1523	-629.38
1524	-632.509
1525	-635.538
1526	-638.452
1527	-641.241
1528	-643.896
1529	-646.408
1530	-648.77
1531	-650.979
1532	-653.038
1533	-654.951
1534	-656.723
1535	-658.357
1536	-659.853
1537	-661.206
1538	-662.412
1539	-663.474
1540	-664.398
1541	-665.196
1542	-665.885
1543	-666.487
1544	-667.025
1545	-667.512
1546	-667.95
1547	-668.326
1548	-668.636
1549	-668.892
1550	-669.122
1551	-669.359
1552	-669.637
1553	-669.98
1554	-670.405
1555	-670.908
1556	-671.47
1557	-672.064
1558	-672.666
1559	-673.257
1560	-673.823
1561	-674.354
1562	-674.847
1563	-675.304
1564	-675.724
1565	-676.098
1566	-676.406
1567	-676.636
1568	-676.784
1569	-676.856
1570	-676.853
1571	-676.775
1572	-676.616
1573	-676.373
1574	-676.048
1575	-675.645
1576	-675.172
1577	-674.637
1578	-674.049
1579	-673.42
1580	-672.756
1581	-672.06
1582	-671.327
1583	-670.561
1584	-669.773
1585	-668.984
1586	-668.223
1587	-667.521
1588	-666.921
1589	-666.463
1590	-666.181
1591	-666.097
1592	-666.223
1593	-666.56
1594	-667.097
1595	-667.815
1596	-668.679
1597	-669.643
1598	-670.63
1599	-671.543
1600	-672.265
1601	-672.667
1602	-672.623
1603	-672.012
1604	-670.717
1605	-668.624
1606	-665.616
1607	-661.567
1608	-656.345
1609	-649.817
1610	-641.865
1611	-632.393
1612	-621.336
1613	-608.665
1614	-594.387
1615	-578.547
1616	-561.217
1617	-542.51
1618	-522.573
1619	-501.582
1620	-479.735
1621	-457.248
1622	-434.367
1623	-411.366
1624	-388.538
1625	-366.187
1626	-344.616
1627	-324.12
1628	-304.998
1629	-287.549
1630	-272.067
1631	-258.828
1632	-248.067
1633	-239.973
1634	-234.682
1635	-232.279
1637	-236.259
1638	-242.606
1639	-251.776
1640	-263.665
1641	-278.139
1642	-295.025
1643	-314.109
1644	-335.132
1645	-357.798
1646	-381.791
1647	-406.778
1648	-432.421
1649	-458.386
1650	-484.347
1651	-509.988
1652	-535.009
1653	-559.128
1654	-582.083
1655	-603.639
1656	-623.598
1657	-641.809
1658	-658.179
1659	-672.666
1660	-685.268
1661	-696.01
1662	-704.94
1663	-712.128
1664	-717.661
1665	-721.644
1666	-724.2
1667	-725.468
1668	-725.592
1669	-724.72
1670	-722.991
1671	-720.534
1672	-717.465
